,Latitude,Longitude,Absolute elevation,Distance from Coast,AP1,AP2,DT1,DT2,HTM,LTM,AC1,AC2,LC1,LC2,RFL,RH1,RH2,WSD
ABU,24.6,72.72,1195,253.94,,,8.7,16.3,23.4,-0.7,0.8,1,0.4,0.5,3.7,61,42,2
ADIRAMAPATINAM,10.33,79.38,6,2.56,1013.9,1010.4,23.5,27.1,31.9,18.2,3.2,3.4,1.3,1.4,34.5,87,70,6.7
AGARTALA (A),23.88,91.25,16,124.39,1015.2,1011.8,16.8,16.5,28.8,6.4,1.5,1.5,0.4,0.3,5.6,81,66,2.3
AGATTI (A),10.85,72.47,4,0,1012.3,1009.5,26.2,28.7,32,22.2,3.1,3.9,2.5,2.9,5,81,71,
AGRA,27.17,78.03,169,751.48,997,995.2,10.7,19.8,27.3,4.2,1.3,1.6,0.4,0.4,9.5,77,55,1.9
AGUMBE,13.5,75.1,659,41.49,940.9,938.1,15.9,25.2,31,7.8,,,,,2.4,87,73,4.2
AHMEDABAD,23.07,72.63,55,84.28,1010,1007,14.8,26.3,32.1,7.5,1.3,1.3,0.1,0.1,1.9,64,35,6
AHMEDNAGAR,19.08,74.8,657,182.31,941.8,938.2,17.1,28.2,33.1,8.2,0.5,0.7,0.2,0.3,0.1,61,36,4
AJMER,26.45,74.62,486,496.08,960.7,958.3,11.5,20.5,28.5,4,1.4,1.6,0.4,0.5,7,65,36,3.2
AKOLA,20.7,77.03,282,426.5,983.6,979.6,17,27.9,33,9.5,1.2,1,0.5,0.4,13.5,62,35,3.9
AKOLA (A),20.7,77.07,309,430.66,980.4,976.6,17.4,28,33.3,8.8,1.6,1.6,0.4,0.5,13,57,33,5.6
ALAPPUZHA (ALLEPPEY),9.55,76.42,4,11.09,1012.7,1008.8,25.4,29.5,34.6,20.1,3.4,3.2,1.3,1.1,16.3,76,66,8.8
ALIBAG,18.63,72.87,7,0,1013.5,1010.7,19.3,26.7,32.7,14,0.6,0.5,0,0,0.5,74,63,7.6
ALIGARH,27.88,78.07,187,811.54,996,993.3,10.8,18.2,25.1,3.8,2.5,2.3,2.3,2,15.2,80,60,3.1
ALIRAJPUR (JHABUA),22.28,74.4,293,153.08,983.3,979.6,17,26,31.4,5.3,1.2,1.1,0.4,0.1,2.5,56,36,3.4
ALLAHABAD,25.45,81.73,98,702.7,1006.2,1003.3,12.4,19.9,27.5,4.7,2.2,2,1.1,0.5,18.3,82,57,2.9
ALWAR,27.5,76.58,271,689.76,985.7,,10.6,,25.6,5,2,,1,,11.3,79,,
AMBALA,30.38,76.77,272,980.44,984.5,982.6,8.9,16.9,23.7,3.2,3,2.5,1.8,1.2,28.2,85,59,3.6
AMBIKAPUR,23.17,83.25,611,427.8,947.9,945.2,13.2,20.9,27.6,4.4,1.8,1.9,0.8,0.8,26.1,75,48,4.4
AMINI DIVI,11.12,72.73,4,0,1012.4,1009.5,26.1,29.2,32.4,21.5,3.3,3.4,1.9,2.1,14.5,80,67,5.6
AMRAVATI,20.93,77.78,370,504.43,974.1,970.3,19.1,27.2,32.6,11.1,1.4,1.2,0.9,0.9,12.4,53,32,7.7
AMRELI,21.6,71.22,113,77.91,,,12.9,28.1,33.2,6.2,,,,,0.3,58,27,4.7
AMRITSAR (RAJASANSI),31.63,74.87,234,1057.05,990.1,988.5,6.1,16.5,23.1,-0.2,3.6,3.6,1.3,1.1,21.9,90,59,2
ANANTAPUR,14.68,77.62,350,264.21,975.4,971.2,21.4,28.8,33.3,14.3,1.8,2.3,0.4,0.8,1.2,69,39,7.8
ANGUL,20.83,85.1,139,134.21,1001.2,997.6,17.9,25.7,31,11.3,1.2,1.1,0.5,0.5,9,76,47,
ARIYALUR,11.17,79,75,86.22,1006.2,1003.2,24.9,27.3,34.3,18.6,2.2,2.4,2.1,2.2,17.3,80,69,
AROGYAVARAM,13.53,78.5,701,185.49,936.9,933.6,18.5,26,30.3,12.6,2.6,3.3,1.9,1.8,2.6,79,43,4.1
AURANGABAD,19.88,75.33,581,255.85,950.5,947.5,17.3,27.7,32.1,10.3,1.3,1.6,0.8,1.2,5.4,58,31,
AURANGABAD (CHIKALTHANA)(A),19.85,75.4,579,261.5,950.2,946.9,16.6,27.6,31.9,6.9,1.6,1.7,0.4,0.8,3.3,59,33,5.6
BADARWAH,33.12,75.32,1689,1230.06,,,1.4,6,17.9,-5.2,3.7,4,2.2,2.4,119.3,79,66,2.2
